section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,true_pairs
993,凌晨0时30分左右一个打扮时髦穿着性感的女人走了过来并四下打量民警此时还无法确认犯罪嫌疑人见没看到碰面的人该女子便拿起手机拨起了电话所长的手机此时响起民警确认发短信的就是这女子无疑于是三人立即上前将此女子控制面对突如其来的民警女子也是一脸惊诧但明显有喝醉了的状态最终在民警的讯问下交代了实情,145,12,"[9, 22, 14, 8, 13, 9, 15, 14, 9, 8, 10, 14]",[10],[[9]],"[[10, 9]]"
994,终于远在四川岳池的25岁小伙杨明飞与刘玉青建立了联系并答应到无锡来与刘玉青一起开创事业他们口中所谓的事业就是绑架然后勒索的勾当刘玉青想到现在只有两个人做事情不太方便于是想到了自己的发小凌守荣凌守荣也是盐城人今年23岁接到刘玉青的电话后正因与女朋友吵翻心情烦躁的他便来到无锡想与刘玉青等人一起搞钱三人中虽然刘玉青年纪最小可他脑袋转得最快鬼点子一个接一个俨然成了这个小团伙的军师,187,18,"[2, 24, 17, 9, 11, 5, 7, 7, 13, 8, 5, 9, 19, 11, 12, 8, 8, 12]",[13],[[13]],"[[13, 13]]"
995,对于事发原因金坪村一位村民称事发当日早上该村几名村民抬着电线杆遇到雷某有村民喊道海娃子雷某小名帮个忙吧但雷某并未应答脸色很阴沉村民事后猜测雷某是嫌别人喊他小名不尊重他而恼羞成怒另据知情人透露当日上课期间遇到学生调皮雷某可能再次感到不受尊重加之想起此前学生们模仿他说话才重打学生,138,18,"[6, 8, 6, 15, 12, 4, 7, 5, 6, 10, 4, 5, 7, 6, 6, 12, 14, 5]",[12],[[11]],"[[12, 11]]"
996,11月9日晚8时许周海涛驾驶自己的银灰色面包车在成都市桂溪立交桥下接到了赵可此时他的车上装着胶带绳子剪刀警棍还悄悄换上了一块偷来的车牌在车上将对方绑架曾威胁要将其活埋车子快开到简阳时周海涛假称要到后座拿点东西在车上对赵可实施了绑架手脚被捆绑的赵可被扔到了面包车后座在那里渡过了惊恐万分的23个小时在这期间周海涛白天很少停车晚上就找个偏僻处停下在车里睡觉因为在赵可的包里没找到什么收获周海涛先是强迫其给朋友打电话假装借钱不过都没有成功,216,18,"[9, 14, 15, 2, 14, 13, 24, 13, 11, 17, 16, 4, 9, 10, 5, 15, 18, 7]",[11],[[9]],"[[11, 9]]"
997,对于王某精神有问题的说法一名村民说他有病的话还能做生意吗小华的母亲说听说他10年前患过抑郁症后来也没啥事了平时孩子自己在家的时候我都会锁上门我去摘菜也只是一小会儿的时间有时孩子的同伴来找孩子玩我当天就没锁门小华的母亲对自己的疏忽给孩子造成的伤害一直很内疚幸亏没有给孩子造成实质性的伤害否则我们当父母的一辈子都后悔小华事后经常做噩梦小华家中的墙上挂着小华获得的优秀学生奖状,185,13,"[12, 16, 18, 7, 11, 6, 14, 12, 7, 24, 15, 14, 29]",[10],[[10]],"[[10, 10]]"
998,唯一的孩子陈熙浩死后陈方和魏石美陷入极度悲伤夫妇俩奔走大岭协和医院和惠东县卫生局最后查实当班坐诊医护人员庄稳耀没有医师资格证和执业证帮陈熙浩做B超的钟姓妇女只有护士证进行验血的医护人员余浩也没有医师资格证和执业证了解到这些信息后陈方和魏石美迅速报警目前陈熙浩已经做了尸检结果显示他患的是肠套叠至此由庄稳耀钟姓护士余浩三人组成的医疗团队出现误诊的事实基本明了,178,14,"[10, 12, 18, 26, 17, 11, 12, 8, 10, 11, 11, 2, 26, 4]",[2],[[1]],"[[2, 1]]"
999,8月27日9时时隔18年后43岁的孙成伟回到了家乡———和龙市福洞镇那边那座山没怎么变我小时候在山上放过牛采过蘑菇看着既熟悉又陌生的场景戴着手铐的孙成伟和带他来指认现场的民警聊起天来18年前孙成伟杀死一个远亲舅舅随后开始逃亡他更名改姓娶妻生子终究没能逃脱法网他说18年来自己一直生活在恐惧之中总是失眠晚上只能睡两三个小时现在总算解脱了,167,18,"[7, 6, 21, 9, 14, 11, 23, 4, 11, 6, 9, 8, 2, 4, 11, 4, 10, 7]",[15],[[9]],"[[15, 9]]"
1000,当年范某酒后经常来到孙家闹事孙的父母人比较老实一直忍气吞声办案民警介绍孙成伟带着朋友赶回家中与范某争吵起来并打在一起见孙成伟人多范某丢下几句狠话离开了孙成伟意识到范某一定会报复自己的父母他想和范某和解但又惧怕范某对他动手于是揣了一把匕首孙成伟追上范某后两人谈崩了又吵起来进而开始厮打撕扯中孙成伟掏出匕首刺在范某的颈部致范某当场死亡看见范某倒在地上不动了孙成伟慌了神他脑袋里只有一个念头———逃跑,197,24,"[2, 12, 9, 6, 6, 11, 12, 6, 11, 6, 12, 7, 10, 8, 8, 5, 4, 6, 3, 14, 7, 11, 6, 15]",[13],[[13]],"[[13, 13]]"
1001,9月4日凌晨郑某接到王某的电话对方让他到她家过夜郑某应邀前往在发生关系前王某提出要100元钱郑某同意但是当天凌晨6时许郑某离开时王某向他要500元为此发生争执王某要打电话叫人来收拾郑某郑某恼羞成怒抓起床头手机充电器用导线将王某勒死事后他将王某的尸体藏在床板的厢体里并且顺便拿走了死者的手机当日上午9时他坐车逃回老家定州当他还抱着侥幸心理打算外逃时民警从天而降将他抓获归案,185,21,"[6, 9, 9, 6, 6, 10, 4, 9, 5, 9, 6, 13, 6, 17, 17, 12, 6, 9, 14, 6, 6]",[13],[[12]],"[[13, 12]]"
1002,夫妻闹矛盾竟能下如此毒手实在让人气愤银川市民何先生向本报反映他怀孕8个多月的表姐马女士因与丈夫闹口角竟被对方用刀捅伤住院治疗9月5日下午记者来到马女士就诊的宁医大总院她躺在病床上左手打着吊针脖子上长约10厘米的刀伤让人触目惊心隆起的肚子上缠着厚厚的绷带左小腿也有两道刀伤,135,13,"[5, 7, 6, 12, 20, 12, 6, 15, 6, 6, 18, 13, 9]",[3],[[2]],"[[3, 2]]"
1003,丈夫养的小三居然住在自家房屋里这让江芬异常愤怒她打官司要求小三王玫支付高额房屋使用费面对一审法院130多万元的判决赔偿金王玫认为不公平我养育他的孩子他同意我住进去的近日上海一中院作出终审判决判令王玫支付房屋使用费19万元,110,10,"[15, 8, 19, 18, 7, 7, 8, 2, 11, 15]",[2],[[1]],"[[2, 1]]"
1004,2014年8月13日新疆库尔勒市公安局刑警大队大案一队民警接到市民报警称在巴音路某宾馆有一男一女倒在血泊中这一男一女曾是一对相爱多年的恋人就在两人谈婚论嫁时男子因买不起婚房而遭女方家人的反对最后女子听从父母的安排向男友提出了分手见无法挽回这段恋情男子万念俱灰欲杀死女子后自杀未遂民警将二人送到医院后经抢救两人均脱离了生命危险,162,14,"[10, 26, 7, 10, 16, 9, 17, 2, 17, 9, 6, 10, 10, 13]",[11],[[10]],"[[11, 10]]"
1005,当晚6点多孙虎主动来到失主刘某家不过这一次他的身份是民警从邻居口中得知刘家已报警后孙虎心里一阵高兴之后他自称是派出所民警告诉邻居刘家的案子已经破了赃物已追回但要准备1200元才能赎回东西因临时有事他明日再将所失物品带来为扮得更像派出所民警孙虎特意制作了发还物品清单此外他还嚣张地附上注明主家×××请付出人民币1000元付兄弟辛苦费200元1000元我们交到所里等字样,183,22,"[5, 11, 2, 3, 7, 13, 8, 2, 9, 13, 5, 9, 6, 5, 11, 10, 13, 2, 14, 11, 10, 14]",[7],[[6]],"[[7, 6]]"
1006,今年2月1日农历正月初二夜里10点多崔某偷偷点燃了许某某家的草垛火很快烧了起来之后崔某转念又想缓和关系遂去帮助许某某夫妇二人救火但许某某夫妇拒绝了他的帮助崔某被拒绝后恼羞成怒萌发报复心理便返回家中拿起一把菜刀来到许某某家砍击许某某老伴尹某某数刀致其死亡此时在外面救火的许某某返回家中崔某又持菜刀连续砍许某某其间崔某手中的菜刀跌落在地但崔某仍不依不饶从现场捡起一块砖头连续击打许某某致其当场死亡,196,20,"[18, 14, 7, 2, 10, 13, 13, 6, 4, 6, 17, 16, 2, 13, 12, 2, 11, 8, 16, 6]",[9],[[7]],"[[9, 7]]"
1007,廖某是全州人整天在社会上混通过朋友介绍他认识了女友张红化名由于两人聊得很投机他们很快同居在一起今年6月廖某得知女友怀孕后非常高兴可因女友怀孕了需要增加营养安胎两人开销增加了本来就靠父母给点钱过日子的他们感到生活压力很大于是廖某便想到了通过抢劫的办法来谋取钱财6月的一个晚上他独自一人持刀来到县城的大街上寻找作案目标可一直没有发现目标直到当天晚上11点在县城的十字街路口他发现一名身穿白色上衣的女子背包独自走在路上见四周无人后他从该女子后面将对方的包抢走第一次得手后廖某只要身上没有钱用便在晚上持刀抢劫独行女性,254,26,"[6, 7, 6, 10, 9, 9, 4, 13, 7, 8, 7, 15, 8, 2, 18, 7, 21, 9, 9, 9, 22, 6, 14, 6, 10, 12]",[8],[[8]],"[[8, 8]]"
1008,7月20日下午5时毛某约张某谈事两人在附近找了家宾馆住下并在附近吃了麻辣烫再次回到宾馆已是晚上9时洗簌完毕后张某再次提出希望毛某拿出些钱帮儿子毛某不同意双方争执不下张某恼羞成怒用双手掐住毛某脖子毛某害怕讨饶但张某说自己之前好话说尽现在为时已晚失去理智的张某猛掐毛某的脖子用枕头捂她的口鼻并用烟灰缸猛砸她头部致毛某当场死亡见到满地的鲜血张某才感到害怕他用房间里的浴巾盖住前妻的尸体走到楼下吧台借了手机报警说自己把人杀死了,209,29,"[9, 7, 12, 9, 6, 6, 5, 6, 11, 5, 6, 6, 9, 4, 2, 4, 8, 6, 7, 7, 8, 10, 7, 7, 7, 15, 6, 6, 8]","[12, 14, 25]","[[11], [13], [24]]","[[12, 11], [14, 13], [25, 24]]"
1011,今年7月29日武昌警方再获情报王某的哥哥在岳阳购买了火车票专班民警连夜赶赴岳阳次日上午在岳阳火车站抓获王某对当年冲动后悔万分落网后王某叹道12年的逃亡生活让他成了惊弓之鸟时刻紧绷神经深夜常常惊醒听到警笛声就心慌气短两年前的那一天他在深圳的厂里偶然看到几名精干男子进了经理办公室怀疑是从武汉来抓他的便衣便悄悄躲在门外偷听证实了自己的猜测当即转身溜走,173,18,"[7, 8, 14, 10, 4, 10, 12, 4, 16, 6, 6, 10, 7, 24, 12, 9, 8, 6]","[7, 12]","[[7], [12]]","[[7, 7], [12, 12]]"
1013,8月4日延安市食药监局对此事进行调查并对当事司机邵某进行了谈话调查指出邵某7月17日驾驶的陕J00041丰田越野车是当日的值班车正常情况下应该停在单位事发那天邵某的孩子突然生病因心情烦躁没有打招呼私自开车回家看孩子将车停在李渠镇东村其家附近对于网上反映的干涉新农村建设和一些言论邵某称没说那些话延安市食药监局对邵某作出相应处理停止工作一个月深刻反思承担此次开车的费用折合人民币200元交财务作出书面检查,201,18,"[4, 14, 13, 4, 29, 11, 4, 9, 5, 14, 13, 19, 8, 23, 4, 9, 12, 6]",[9],[[8]],"[[9, 8]]"
1014,29日凌晨他边瞎转边寻找目标下手在走到花园路永丰余路口时看见路上停放着许多汽车李某试着拉拉车门看看能不能碰上运气哪辆汽车没锁车门竟然还真让他遇见了一辆半新不旧的红色普桑轿车右后车门被他拽开钻进车内的李某东翻西找找了储物盒看了烟灰盒只偷到了两个一元的钢镚深感懊恼和晦气的李某不甘心这点战利品又沿着花园路向东走没想到撞上了巡逻民警被逮了个现行李某同时交代了两天前在停放路边的一面包车内偷走20元钱的违法事实,201,18,"[5, 11, 12, 11, 8, 9, 8, 9, 21, 11, 5, 5, 11, 18, 9, 10, 6, 32]",[14],[[13]],"[[14, 13]]"
1015,怀疑妻子有外遇恼羞成怒失去理智的丈夫残忍地将妻子鼻子咬掉还吞了下去天呐这惊悚的一幕就发生在不久前的嘉兴平湖市当湖街道某小区内,62,6,"[7, 21, 5, 2, 6, 21]",[2],[[1]],"[[2, 1]]"
1016,向派出所自首后付某于7月1日被刑拘他对自己的愚蠢行为进行了深深的忏悔与自责王某一开始坚决表示要和付某离婚要让付某坐牢冷静下来后考虑到家里还有三个孩子需要照顾王某作出了原谅付某的决定检方近日以涉嫌故意伤害对付某提起公诉平湖法院将择期审理此案,119,9,"[7, 10, 20, 15, 6, 20, 12, 18, 11]",[3],[[3]],"[[3, 3]]"
1017,昨日死者母亲闻讯后赶到现场确认死者就是宋某记者看到宋某的母亲步履蹒跚走路很艰难看到宋某尸体后伤心痛哭昨日案件被害人李女士的女婿曹先生向记者介绍发现宋某死尸的地方离高桥镇事发地只有15分钟车程曹先生介绍一直想追问宋某杀人的原因到底因为什么问题为何不能坐下来好好解决另外希望他能接受到法律的制裁而不是就这么死去,153,17,"[2, 11, 8, 4, 9, 5, 11, 2, 19, 24, 5, 12, 8, 11, 2, 12, 8]",[7],[[7]],"[[7, 7]]"
1018,女子孙某因家庭琐事与丈夫发生争执盛怒之下一刀斩断儿子三根手指造成其手指永久性缺失上海市青浦区人民法院于24日对此案公开开庭审理以故意伤害罪判处被告人孙某有期徒刑一年六个月今年4月2日下午被告人孙某来到位于青浦某镇的菜地窝棚内欲就离婚及孩子抚养等问题与丈夫张某商谈但张某不想谈及此事吵了几句后张某拔腿就走孙某怒火中烧将在旁边玩耍的儿子拉到砧板前将其左手的食指中指及无名指斩断,186,14,"[16, 14, 10, 23, 22, 8, 19, 19, 9, 5, 6, 6, 14, 15]",[2],[[1]],"[[2, 1]]"
1019,7月10日晚杨某与安某再次争吵恼羞成怒的杨某用菜刀将安某砍死又挥刀砍向熟睡中的一双儿女据悉杨某目前已被刑事拘留案件正在进一步调查中昨日记者还获悉目前浩浩正在医院接受治疗他的前额左肩胛骨和后背都被砍伤目前已无生命危险,107,11,"[6, 9, 15, 13, 2, 10, 10, 7, 12, 15, 8]",[3],[[2]],"[[3, 2]]"
1020,7月17日近20名环保志愿者早早地来到了湖南省岳阳县人民法院当天站在被告席上的是另一名志愿者——岳阳市江豚保护协会会员李劲松此前李劲松等人在春节期间也坚持彻夜在江豚保护水域巡逻对江豚悉心照料被媒体赞为江豚奶爸在一些环保志愿者眼中李劲松确实为保护江豚作出了贡献为他因涉嫌敲诈渔民而坐上被告席颇为惋惜我们不希望公益走上这条路敲诈湖南环保志愿者网友晚稻空间在庭审结束后对本报记者说该案对公益事业冲击比较大,199,14,"[5, 25, 2, 30, 2, 24, 7, 9, 10, 15, 19, 14, 25, 12]",[11],[[11]],"[[11, 11]]"
1021,2013年7月4日中午2点30岁出头的李某来到岳麓区冷柜厂宿舍大门口一家快餐店吃中饭吃到一半发现菜里竟然有头发李某暴跳如雷餐馆老板跑过来不停赔笑道歉还答应免收钱李某却始终不满意还狮子大开口要求店家付2万元作为补偿不给我就喊人来砸店餐馆老板是外地人面对李某的无理取闹十分害怕经过一番讨价还价被迫给了李某4500元岂料10天后将钱挥霍完的李某再次来到该店要求店家再支付赔偿店家偷偷地报了警李某被抓获,197,20,"[13, 29, 13, 6, 13, 6, 8, 6, 12, 9, 8, 13, 8, 11, 2, 4, 14, 9, 8, 5]",[12],[[12]],"[[12, 12]]"
1022,候车室的一次偶遇男子王某认识了女子谢某两人深陷热恋并同居在为女友花去积蓄近7万余元双方谈婚论嫁之机谢某却销声匿迹王某千里寻爱却发现谢某已经有了老公和孩子心灰意冷的王某到达湘潭后直接跳下站台欲卧轨自杀经铁路民警的耐心劝解王某才于11日凌晨踏上回家之路,124,11,"[8, 11, 9, 13, 8, 7, 20, 12, 11, 10, 15]",[8],[[7]],"[[8, 7]]"
1023,7月5日谢某以家中有急事为由回到老家湘潭然而完全没有想到的是自以为妻子只是回娘家探亲几天的王某马上发现了异样谢某一去就不曾主动打电话自己打电话过去也表示不耐烦动不动就挂断电话感觉不对劲的王某以为自己哪里得罪了妻子惹其不高兴遂丢下张家界的生意于7月10日坐火车来湘潭准备当面见见妻子说好话将其哄回去不料在火车上当王某打电话兴冲冲地告诉谢某自己来湘潭要其告诉家庭住址时谢某却吐露实情自己结婚了有老公还有两个孩子此次自己回湘潭就是下定决心不跟他好了随后挂断了电话,228,26,"[4, 10, 6, 2, 8, 17, 7, 12, 13, 8, 19, 5, 9, 12, 8, 8, 2, 4, 14, 5, 9, 12, 9, 7, 11, 7]",[12],[[11]],"[[12, 11]]"
1024,又气又急的王某再打过去时对方的手机便关了机再也打不通了王某人财两空伤心欲绝当火车到达湘潭站时一时冲动想不开即想以卧轨自杀来了断这段感情纠葛经过民警1个多小时的耐心劝导想到家中还有老人和小孩王某的情绪才逐渐稳定下来随后民警帮其买了一张K9068次车票送其踏上了回张家界的列车,136,14,"[12, 9, 6, 6, 4, 9, 7, 16, 14, 11, 12, 2, 16, 12]",[5],[[4]],"[[5, 4]]"
1025,收费站工作人员介绍车辆已排到了20公里外几乎到了河北边界一位排队等候的大货车司机告诉记者他从内蒙古来京从前一天下午两点就开始排队过收费站仍没有通过虽然知道国道会有些堵但没想到过个收费站要等24小时司机师傅说这两天又热又晒简直要命了在走访过程中大部分的司机都表示自己的等候时间已超过12小时眼看自己堵在路上不动地儿他们很焦虑前面也没有动静不知道发生了什么情况,178,19,"[9, 11, 8, 16, 7, 17, 5, 10, 15, 5, 7, 5, 6, 9, 14, 12, 5, 7, 10]",[17],[[16]],"[[17, 16]]"
1026,昨天一年多没见到女孩的家人从老家赶来只见到女孩冰冷的尸体母亲无意中看到女儿一段暧昧的聊天记录据杨龙登交代当天上午他与小琳因为一点琐事发生争吵他气不过对小琳大打出手晚上他发现小琳伤势比较严重于是拨打了120可惜的是小琳因为伤势太重不治身亡,118,14,"[2, 16, 10, 24, 4, 14, 4, 7, 2, 11, 8, 4, 8, 4]",[7],[[6]],"[[7, 6]]"
1027,庭审中面对被指控的盗窃罪和抢劫罪两项罪名以及谋害和抛尸的犯罪事实周强供认不讳我知道自己犯了很大的错误很愧疚对不起被害人和她的家属希望能给我一次重新做人的机会他说经过2个小时的庭审审判长宣布因案情重大复杂将择期再进行宣判,109,12,"[3, 17, 12, 6, 12, 3, 11, 14, 2, 9, 12, 8]",[6],[[5]],"[[6, 5]]"
1028,7月6日凌晨几个不明身份的人强行撬开门后将他和妻子用胶带绑住手脚塞进汽车后备箱拉到四皓镇一个叫白沟的地方扔在路边后扬长而去说起当时的情形冯书民仍心有余悸因为手脚都被捆绑着嘴也被用胶带封住了他们也没办法呼救那些人把他们扔到路边后还对他们进行了搜身摔坏了他随身携带的一部手机等这些人走后他们才挣脱胶带跑到附近的村民家里求救,159,16,"[6, 14, 12, 7, 13, 9, 7, 8, 9, 9, 8, 11, 9, 13, 6, 18]",[8],[[7]],"[[8, 7]]"
1029,2013年暑假小梦则因琐事和父母闹矛盾置气离家出走从娄底来到长沙县星沙镇投奔小玥我在她们家吃住了一个多星期后她妈妈开始问我要生活费我没钱她说可以帮我介绍客人赚钱我不愿意她就打骂我还拿起菜刀吓唬我回忆起这段噩梦般的经历小梦表情痛苦2013年7月8日下午小玥的妈妈李群强行带着小梦来到长沙汽车南站附近的一家酒店去接客在随后的10多天内李群带着她和小玥前后8次前往宁乡星沙长沙市城区强迫卖淫,192,17,"[7, 18, 15, 14, 11, 3, 12, 4, 5, 8, 11, 6, 11, 31, 9, 8, 19]",[12],[[11]],"[[12, 11]]"
1030,6月30日晚上8点左右家住石柱县南宾镇龙坪村的陈先生从县城吃完晚饭回到家中发现自家门扣被撬门虚掩着他进屋一看发现放在床上的衣服和裤子以及床边的一双拖鞋全部不见他平时放钱的抽屉中仅剩的20多元现金也不见了家中被贼光顾气愤的陈先生立即拨打110报警随后他走出家门到住家附近查看小偷是否离开刚出门我就看见五六十米远的小路上一个年轻小伙子提着一个面包和一瓶水陈先生再仔细一看这人穿的衣服裤子和拖鞋全都是他失窃的陈先生当即追上去该小伙子发现后拔腿就跑追了两三百米后陈先生一个猛扑将其摁倒在地,240,22,"[11, 26, 8, 4, 5, 12, 13, 22, 6, 15, 2, 18, 3, 13, 17, 8, 11, 7, 8, 11, 7, 13]",[10],[[9]],"[[10, 9]]"
1031,1991年出生还未满23岁的张云被抓获时高升任传销组织的总监了他告诉记者他是经人介绍进来的后来他发展了他的父亲和另外30多条下线提及到自己的父亲张云眼里满是泪花他说当时我只知道赚钱没想那么多对传销也不是很清楚所以后来才把父亲拉了进来我浪费了父母辛苦赚来的钱还毁坏了家里的名声我很愧疚想对父亲说一句对不起,151,15,"[16, 15, 5, 9, 19, 8, 8, 10, 5, 9, 12, 12, 9, 4, 10]",[14],"[[12, 13]]","[[14, 12], [14, 13]]"
1032,据目击者介绍当时只见几辆轿车和一辆面包车相遇一辆轿车里的人突然朝面包车开枪枪响后听到面包车里有人在喊糟了中枪了快送医院开枪后轿车没有更多停留迅速离开现场而面包车也很快离开了现场去往绵竹城区方向这些人也太嚣张了嘛就在公路上开枪杀人附近居民听闻发生枪杀案感到十分气愤6月28日凌晨被枪击中的范兵化名经抢救无效死亡,154,17,"[6, 16, 15, 15, 3, 4, 3, 8, 6, 12, 8, 9, 9, 11, 6, 7, 16]",[15],[[14]],"[[15, 14]]"
1033,前晚一名男子在福州北环中路环南路口的一家快餐店抽烟时遭到服务员的劝阻竟然冲到柜台后方的厨房里夺走一把切面包的锯齿刀朝那名服务员的头部砍去瞬间服务员头部血流了下来群众报警茶园派出所民警赶到现场将行凶男子控制住伤者随后被送往医院救治经诊断头皮有一道约4厘米长的口子所幸没有大碍这名砍人的黄姓男子交代前晚他和妻子因琐事发生争执心情烦闷喝了许多酒这才冲动伤人,175,19,"[2, 24, 8, 12, 11, 11, 2, 10, 4, 11, 8, 11, 16, 6, 11, 13, 4, 5, 6]",[17],[[16]],"[[17, 16]]"
1034,事情过去将近一年他都没完全弄明白当时发生了什么根据庭审记录还原的真相是那天晚上郑建强邀请同村的好友侯军尤洪湧来自己的住所吃饭喝酒席间侯军给尤洪湧劝酒被拒绝心生不快开始言语相激同样有些醉意的尤洪湧同他吵了起来尤洪湧一度冲向厨房要拿菜刀却被郑建强拦下年轻气盛的尤洪湧转回家取了一把当做工艺品挂在墙上的东洋刀赶回了郑建强家,158,16,"[8, 15, 12, 4, 15, 10, 2, 11, 4, 6, 16, 13, 7, 11, 17, 7]",[9],[[8]],"[[9, 8]]"
1035,2013年10月12日他买了瓶敌敌畏藏在张琪家的窗台上准备吓唬一下岳父10月13日张琪的小姨知道张琪被带走后很生气要求陈华先把张琪送回来调养陈华接到电话后就把张琪和孩子一同送回了娘家看到憔悴的张琪小姨很心疼骂了陈华让张琪先上楼陈华顿时绝望跑到窗台边打开农药先喂孩子喝了一口敌敌畏随后自己也喝了一口张琪的小姨赶紧拨打120幸亏抢救及时陈华和孩子最终脱离危险,177,19,"[11, 16, 8, 6, 16, 13, 7, 14, 7, 5, 4, 6, 6, 9, 11, 9, 12, 6, 11]",[10],[[9]],"[[10, 9]]"
1036,一个月内佛山高明荷城的新亨村附近连续发生了10次纵火事件而令人诧异的是这10次纵火的始作俑者都指向一个人来自高明更合的曾生昨日记者从高明警方获悉嫌疑人曾生于2010年因放火被高明警方抓获后被判有期徒刑二年缓刑一年六个月目前曾生缓刑期未满又涉嫌纵火被刑事拘留案件正在进一步办理中,138,13,"[4, 24, 7, 17, 9, 2, 9, 21, 9, 7, 2, 17, 10]",[3],[[4]],"[[3, 4]]"
1037,2011年11月的一个星期天杨某照例来到堂兄家当时家中只有5岁的大侄女小玲化名和2岁的小侄女见堂兄和堂嫂都不在家杨某兽性大发引诱小玲跟他玩个好玩的游戏小玲欣然答应其后杨某将小玲带到电脑房将小玲的裤子脱去对其实施强奸不久小玲的母亲从外面回来将杨某的恶行抓个正着小玲母亲大怒对杨某说以后堂兄不在家就不要进这个家门事后她把所见一幕告诉丈夫可丈夫根本不相信,174,18,"[14, 9, 23, 10, 6, 13, 6, 2, 10, 14, 2, 10, 10, 6, 19, 2, 10, 8]",[14],[[13]],"[[14, 13]]"
1038,说起当时为何选择要逃跑小韩直白地说当时他就觉得自己这么跨越隔离带是不对的只希望对方没有太大的事怎么也没有想到对方最后竟然死了昨天在法庭上小韩懊悔地反复表示当时自己不应该边走路边看手机更不应该在撞人后选择逃跑做人应该有担当该自己承担的就应该承担案发后小韩积极承担责任向被害人黄某家属赔偿了50.1万元取得了被害人家属的谅解,160,15,"[11, 6, 19, 11, 15, 6, 9, 14, 12, 7, 11, 3, 8, 17, 11]",[7],"[[8, 9]]","[[7, 8], [7, 9]]"
1039,随后医院开始对我进行抢救当时我身上的血管都塌陷了只好通过脖子上的大动脉进行输液赵女士哭诉着当时我有好几次都休克过去了医生怕我一睡过去就醒不来了手术时也没有用麻醉药赵女士忍着剧痛接受了第二次手术因为大出血造成输卵管破裂我的右侧输卵管被迫切除赵女士伤心欲绝,126,12,"[2, 10, 12, 15, 6, 13, 13, 10, 15, 12, 11, 7]",[12],[[11]],"[[12, 11]]"
1040,1月27日晚7时赵女士突发剧烈性腹痛无法动弹几度昏厥被送到第五人民医院的赵女士做了一系列检查我记得当时B超师刚把仪器放在我的肚子上就大叫一声跑出去找医生了赵女士伤心地说B超显示她宫外孕大出血随后医院开始对我进行抢救当时我身上的血管都塌陷了只好通过脖子上的大动脉进行输液赵女士哭诉着当时我有好几次都休克过去了医生怕我一睡过去就醒不来了手术时也没有用麻醉药赵女士忍着剧痛接受了第二次手术,191,19,"[8, 10, 4, 4, 13, 7, 19, 12, 7, 11, 2, 10, 12, 15, 6, 13, 13, 10, 15]",[9],[[10]],"[[9, 10]]"
1041,1月27日在父母的陪伴下17岁的少女丽丽来到当地一家医院做了人流手术丽丽脸色苍白双眼失神隐藏着无法言及的痛楚5天前震惊山村的自杀案给这个无助的少女带来了更多的恐惧1月22日下午渭源县会川镇某村一名农妇慌张地从河沟向村里跑去一边跑一边向路边的几个男人喊道吓死我了河沟里有人上吊了你们快去看看,144,14,"[5, 7, 16, 6, 6, 4, 10, 11, 16, 7, 23, 19, 8, 6]",[9],[[8]],"[[9, 8]]"
1042,两个90后偷吃禁果生下儿子因没有生活来源女生家人反对这门婚事男生陈华化名情绪激动灌儿子喝农药后也喝下农药自杀这个悲剧发生在建阳市所幸父子被及时抢救虽然得到了女友的原谅但男生仍无法逃脱法律的制裁,96,11,"[9, 4, 7, 10, 10, 7, 7, 10, 9, 10, 13]",[5],[[4]],"[[5, 4]]"
1043,10月13日张琪的小姨知道张琪被带走后很生气要求陈华先把张琪送回来调养陈华接到电话后就把张琪和孩子一同送回了娘家看到憔悴的张琪小姨很心疼骂了陈华让张琪先上楼陈华顿时绝望跑到窗台边打开农药先喂孩子喝了一口敌敌畏随后自己也喝了一口张琪的小姨赶紧拨打120幸亏抢救及时陈华和孩子最终脱离危险,142,16,"[6, 16, 13, 7, 14, 7, 5, 4, 6, 6, 9, 11, 9, 12, 6, 11]",[7],[[6]],"[[7, 6]]"
1044,杭州之江律师事务所的徐伟萍是小周的辩护人她说和小周交流过几次后发现他其实还是蛮老实的小周的堂哥昨天很伤心地坐在旁听席上他说小周很内向还很乖的呀怎么一冲动会做这样的事公诉方还出具了一份省立同德医院的鉴定报告称周某可能有中度抑郁症状因为小周的家庭状况很困难他们村还特地递交了一份求情书上面按满了手印希望法院能够对小周轻判,158,13,"[20, 11, 11, 17, 7, 5, 11, 21, 11, 12, 14, 7, 11]",[4],[[7]],"[[4, 7]]"
1045,福建古田12·24特大放火案告破令人唏嘘的是犯罪嫌疑人的作案动机竟是因为事发当日其进入该民房未盗得财物恼怒之下放火烧民房泄愤昨日记者从宁德公安机关获悉2013年12月24日凌晨古田县城东街道胜利社区解放路一支路一座300平方米左右的土木结构民房发生火灾造成7人死亡4人受伤火灾发生后省市县三级公安机关等部门展开多方调查最终确定系人为纵火,168,14,"[16, 6, 18, 11, 4, 7, 2, 11, 13, 38, 10, 5, 18, 9]",[5],[[4]],"[[5, 4]]"
