section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,conn
165,就在许某憧憬着美好的未来时谁知噩梦也悄悄来临第一次遭遇家暴是婚后不久的春节期间许某的老母亲听说儿子在新疆结婚了高兴的从老家赶来想看看已过门的儿媳妇谁知一进家门就看到自己的儿子在收拾房子擦地儿媳王某去串门打麻将去了许某的老母亲即难过又心疼就立刻放下行李帮儿子收拾起家务来,134,9,"[13, 9, 17, 16, 8, 10, 33, 12, 16]",[8],[[7]],而但但当便就但而但
166,9岁时家贫寄养被拐卖1959年王小梅的父母迫于生活的无奈只能将年仅9岁的三女儿王小梅抱给村里的邻居寄养不料邻居将王小梅拐卖到了陕西省咸阳市一个偏僻的村庄里王小梅知道自己被拐后每天哭闹不停时刻思念着远方的亲人噩梦并未结束王小梅又再次被转卖到甘肃省庆阳市宁县一个更加偏远的村庄里在这个村庄里王小梅受尽了折磨吃尽了苦头,156,13,"[3, 12, 13, 23, 26, 10, 6, 10, 6, 28, 6, 8, 5]",[7],[[6]],但因而因却当但却但而就但却
167,噩梦并未结束王小梅又再次被转卖到甘肃省庆阳市宁县一个更加偏远的村庄里在这个村庄里王小梅受尽了折磨吃尽了苦头一次偶然的机会王小梅偷偷跑出向当地政府求救并被一位好心市民收养在养父一家的帮助下王小梅过上了幸福的生活此后以优异的成绩考入大学毕业后进入兰州某医院工作王小梅被拐走后其母亲袁某珍悔恨不已多次到四川成都资阳简阳等地寻找女儿但都杳无音讯袁某珍从此陷入对女儿的无尽思念之中,185,17,"[6, 28, 6, 8, 5, 7, 14, 10, 9, 11, 12, 12, 7, 10, 17, 6, 17]","[10, 14, 17]","[[9], [13], [16]]",但但就但却但但但但而但但当但因但而但而就而却但而但但与但但而而因但而但而就而却但而但但与但但当而便但而
170,31日凌晨3点周丽娟拿出刀对陈某说如果分手就死给你看我拿着刀挥来挥去他就过来抢刀具体过程我回忆不起来了周丽娟说只记得当时她丧失了理智拿刀自残陈某上来抢她的刀她就往回夺她也不清楚陈某的伤是怎么造成的周丽娟说陈某拿起电话要报警她很害怕就在陈某报警时扎了他脖子一刀,129,14,"[7, 19, 8, 6, 11, 4, 15, 8, 5, 15, 4, 9, 4, 14]",[13],[[12]],而但但而但但但但但但但但但但
171,1990年出生的葛宜峰和妻子结婚两个多月后闹离婚他自称做上门女婿的生活很压抑烦闷之中在车里将妻子杀死昨天上午葛宜峰因涉嫌故意杀人罪在市二中院受审其岳父母向其索赔106万余元并要求判处极刑,93,7,"[24, 14, 12, 4, 18, 14, 7]",[2],[[2]],而但但但因但但
172,今年2月5日正月初六他和同岁的同乡陈某结婚随后来到北京住在岳父母位于大兴区黄村镇的出租屋内做起了上门女婿葛宜峰说婚后的家庭生活让他很压抑他和岳母关系不融洽结婚当天就因琐事被岳母骂了一顿他为此发过微信朋友圈这婚结的一点高兴的理由都没有,116,12,"[6, 4, 11, 6, 18, 7, 4, 12, 9, 15, 14, 10]",[8],[[9]],但如而但就却但但而但但却
173,4月27日陈某早上出门葛宜峰说他在家还未起床就听到岳母不停地数落他和他的家人称他配不上她的女儿这让他很愤怒他说自己给妻子发短信说被岳母骂妻子回复我妈就那样过了一会儿妻子回家扔他的衣服说离婚了就别住她家里,101,13,"[5, 6, 4, 7, 25, 6, 10, 5, 9, 5, 4, 5, 10]",[6],[[5]],但而但而但但但就但但与就就
174,49年前女儿的出生为黄魁吾夫妇带来了无与伦比的喜悦可没多久两人渐渐发现女儿似乎与其他孩子不同一天天长大的她不会坐不会爬甚至不会自己翻身奔波了多家医院后夫妇俩不得不接受女儿患有先天性脑瘫的事实,95,10,"[4, 21, 4, 17, 7, 3, 3, 8, 8, 20]",[2],[[2]],或而但但而就但但但但
175,2013年12月28日凌晨2时许李某和曹某二人发生争执曹某对李某进行殴打李某觉得十分委屈为吓唬男友发泄怨愤她用打火机点燃了被子一旁的曹某及时制止了李某二人继续争吵情绪失控的李某再次用打火机点燃了床单一角这次曹某没有及时制止火势迅速增大两人见状赶紧用枕头拍打并用房间内的矿泉水扑救但未能控制火势,146,14,"[16, 11, 9, 8, 9, 10, 12, 6, 20, 10, 6, 11, 11, 7]",[4],[[3]],而但而而因但而但但但但但但但
176,警方调查陈某31岁违反法令9日凌晨开着逾期未还的租赁车南下找林姓女友租赁公司循GPS追踪到台中太平区立刻报警当警察到场时陈某正好要出门一看到警察立刻丢弃身上的随身包警察拦人起出111克安非他命22克海洛因惊讶他才获释2天就又有毒品且都已分装好有贩卖意图昨依法送办,131,13,"[4, 9, 21, 16, 4, 6, 7, 15, 20, 13, 6, 5, 5]",[10],[[10]],由因但当就但而但因更而或但
177,小雪走了留给20岁的小娟无尽的悔恨和伤痛小娟是潼南县古溪镇宝山村人小雪去世后她称愿意在自己的能力范围内就小雪的父母进行补偿现在拿不出钱来但可以用时间来弥补如果她小雪的父母不嫌弃我愿意当他们一辈子的女儿而作为一个游走在两个女孩之间26岁的阿翔事后也感到深深的自责和愧疚,133,11,"[4, 16, 13, 5, 23, 7, 9, 11, 12, 20, 13]",[2],[[1]],当而而当但但而但但因但
178,真正的爱情无关年龄差距也无关环境的好坏来自吉尔吉斯斯坦的大二留学生星星说这是第一次知道爱情天梯的故事但是刘国江和徐朝清的故事值得向全世界分享在这深山中徒手凿出一条6000级的台阶太让人震撼了登山过程中一直很兴奋的星星说将会将这个故事告诉给吉尔吉斯斯坦的朋友让他们知道在中国也有不亚于罗密欧和朱丽叶的经典爱情故事,155,9,"[11, 8, 17, 14, 20, 25, 14, 19, 27]",[6],[[6]],与但而但但而而但就
179,今年25岁的唐某将曾是自己亲姐夫的张某变成丈夫后发现两人并不合适为寻找情感慰藉唐某在QQ上认识了24岁的谯某两人迅速发展成情人当唐某向张某提出离婚后被拒怨恨转化成杀意4月唐某和谯某一起捅伤张某并将其活埋,101,9,"[24, 8, 7, 15, 9, 13, 7, 2, 16]",[7],[[6]],而却因而但但当与与
180,韩小姐说不怪别人嘲笑她字体大学之后不管是学习工作大多都是用电脑和手机打字手写字确实越写越丑一遇到要手写字的场合她就觉得有些难堪毕竟字如其人有时候字体也会成为他人判断自己的标准看到字写得好的人很羡慕,98,8,"[4, 9, 23, 9, 10, 14, 18, 11]",[6],[[5]],但就但但但而但但
181,2日晚上9点30分左右丽水龙泉市凤起路上演疯狂的一幕一名女子驾车撞向路人造成6人受伤多车受损但令人惊讶的是这名女子并不是因为操作不当误将油门当刹车而是有意为之,79,6,"[11, 25, 6, 4, 7, 26]",[5],[[6]],而而更更而而
182,据目击者称事发当晚在一家甜品店附近一辆白色的比亚迪轿车突然发出一阵轰鸣声随后直接冲向人群将1名正在行走的男子撞飞后车子并没有停下来而是继续加速往前冲随后在将1名三轮车车夫和一排电动车撞翻后车子又撞上了1名年轻男子及他的母亲在巨大惯性的作用下轿车又将路边两家夜宵摊掀倒后又撞上了2名路人之后又撞上了一辆黑色的宝马轿车最后轿车终于停了下来此时有人发现车底下还压着一名之前撞倒在地的女子这一连串的疯狂撞击可把周围的路人吓得目瞪口呆四散逃跑,216,21,"[5, 4, 8, 19, 8, 13, 8, 9, 2, 18, 17, 9, 22, 2, 13, 2, 8, 2, 21, 22, 4]",[20],[[20]],但而就而但更但因但就而但而而但而而而更而而
183,两个月前走投无路的贺先生只好回到老家宁波尝试联系自己的子女多年未见子女心中难免有所怨恨态度极为冷淡都不愿见面后来有朋友把他的近况告诉了张女士张女士说我原本只是想去看看他现在过得多落魄看看他悔不当初的样子可没想到见到他满面病容老态龙钟张女士说她当时心中一阵酸楚没考虑太多就把贺先生接回家中昨天才跟两个孩子商量好同意他们爸爸搬回来不管以后怎样夫妻一场我还是决定陪着他走下去照顾他,187,22,"[4, 16, 9, 4, 10, 6, 5, 2, 14, 31, 4, 3, 8, 4, 9, 5, 9, 11, 9, 6, 4, 14]",[5],[[4]],但而但但但但但但就但但当如但但但但但但但当但
184,两个月前走投无路的贺先生只好回到老家宁波尝试联系自己的子女多年未见子女心中难免有所怨恨态度极为冷淡都不愿见面后来有朋友把他的近况告诉了张女士张女士说我原本只是想去看看他现在过得多落魄看看他悔不当初的样子可没想到见到他满面病容老态龙钟张女士说她当时心中一阵酸楚没考虑太多就把贺先生接回家中昨天才跟两个孩子商量好同意他们爸爸搬回来不管以后怎样夫妻一场我还是决定陪着他走下去照顾他,187,21,"[4, 16, 9, 4, 10, 6, 5, 2, 14, 31, 4, 11, 4, 9, 5, 9, 11, 9, 6, 4, 14]",[14],[[12]],而而但但但但但但就但但但但而但但但但但当但
185,李某向警方供述说他曾与胡某订婚后因性格原因两人和平分手分手后他与胡某还以普通朋友的身份常联系在分手后胡某以做生意为由向李某先后借钱10余万元没借钱时我们还经常联系等我把钱借给她胡某后胡某就故意躲着我打电话也不接李某供述借钱一事后经双方家长协商胡某归还了一部分但剩下的钱却始终不肯还想到胡某与自己订婚后分手现在又借钱不还旧怨新恨让李某萌生了报复胡某的想法,176,18,"[8, 7, 12, 19, 4, 8, 12, 4, 7, 10, 8, 6, 4, 12, 8, 11, 19, 17]",[18],[[17]],但但因但但而便但而就而就但因但但但而
186,昨日提起这事躺在医院烧伤科的三女儿非常难受我在卧室照看我爸呢听见了姐姐的尖叫她赶紧出来看个究竟在厨房里她看见李某拿着装满塑料壶的硫酸向姐姐头上浇姐姐的头部和身上都是硫酸她和闻讯赶来的母亲扑上去阻拦李某不但没有停下来反而将我们当做了目标给我们身上泼起了硫酸胡某因为腰病在床上躺着看到家人遭受伤害挣扎着下床跑过来紧紧抱住李某他也遭到硫酸的伤害,169,19,"[2, 4, 15, 9, 8, 9, 4, 21, 12, 9, 5, 9, 10, 10, 11, 8, 8, 6, 9]",[3],[[2]],如当而而却但就当而而就但但就而当就就而
187,据李某家人告知李某服老鼠药轻生的主要原因是与男友感情纠葛想不开一时冲动跑到街上买了一袋老鼠药服下想以此了结情感上的烦恼在民警及其家人的劝导下经历过一回生死的李某表示再也不会因感情冲动干出傻事来,96,8,"[7, 13, 11, 17, 11, 11, 21, 5]",[4],[[3]],但而总但总但但却
188,警方表示一名陈姓女高中生10月31日晚上近7时在嘉义市文化公园等待家人接送江姓男子突然跑过去搭讪自称我有钱做我女朋友女高中生当场拒绝陈姓女学生欲转身离开却遭江姓男子一把强拉其左手阻止受到惊吓的女生喊救命随即被江姓男子捂住嘴巴压倒在地路人见状大声斥喝江姓男子松手起身慌张地骑机车逃逸,140,14,"[4, 33, 11, 5, 5, 8, 10, 15, 10, 15, 4, 4, 8, 8]",[9],[[8]],但而而却就但但但当但当更但却
189,昨日7时许长春又是个雾霾天PM2.5数值是370严重污染解放大路与树勋街交会的绿化隔离带旁同时出现了一大一小两个身影一个是穿着橘色工作服的环卫女工另外一个是站在一旁看上去只有三四岁大的小女孩女孩很听话乖乖地站在矮树丛里环卫女工在工作时不时会伸出左臂拉住女孩的胳膊的哥孙桂发目睹到了这个画面感动得差点儿落泪孙桂发说看见孩子的小身影心里酸酸的环卫工生活真是不易孩子太懂事了,184,19,"[5, 8, 11, 4, 17, 13, 15, 9, 13, 5, 9, 7, 15, 13, 8, 12, 5, 9, 6]",[15],[[14]],但而而因与但而而而但就当但而更但但当但
190,31岁的孙桂发是一名白班的哥昨天7点半他刚好驾车途经树勋街向解放大路右转弯车刚开到路口他就看见马路中间的绿化隔离带旁有两个身影一大一小当时环卫女工正在干活因为包着头巾看不出年纪她一旁站着个小女孩三四岁的样子就站在矮树丛里一动不动孙桂发说当他看到这一幕时眼泪差点没掉下来都知道环卫工辛苦可这也太让人心酸了那么小的孩子就得跟大人出来扫马路看了让人心里难受,175,20,"[14, 5, 18, 6, 20, 4, 2, 8, 6, 5, 9, 6, 11, 4, 8, 8, 8, 9, 16, 8]",[18],[[19]],而而而当而唯而当就更而就但但而但但但而但
191,几天前江苏扬州75岁的患癌老人夏居茂留下手表钱包及一封遗书后出走还在信中嘱咐养女水电费已交了…相依为命20多年的女儿焦急寻找前天距老人出走不远的河边有居民发现遗体昨天经养女辨认确认是老人,93,9,"[3, 29, 30, 2, 10, 7, 2, 5, 5]",[3],[[2]],而而但当而但如但但
192,南夏邑一个24岁的农村女孩尹宾怡身高1.7米亭亭玉立就是这样一位容貌俊美的姑娘却不幸患上了白血病令人感动的是和她年令相差不多的哥哥尹永涛为了挽救妹妹的生命为她做了5次骨髓移植诠释了兄妹之间割舍不断的人间真情,103,7,"[16, 6, 4, 22, 6, 33, 16]",[5],[[6]],当总而但更而更
193,只要有一丝希望我们都不会放弃尹永涛哀求着说只要能救妹妹的命他愿意再去尝试但是院方的建议是采用非血缘关系相匹配的骨髓或许成功率更高如今已康复出院的尹宾怡提起哥哥为了救她做5次骨髓移植的事感激的泪水就会夺眶而出,103,8,"[7, 7, 7, 8, 7, 28, 28, 11]",[8],[[7]],但但但但但但而而
194,陈晓毅说父亲今年61岁了只有他这么一个儿子而母亲已于10年前去世一边是需要照顾的父亲一边是不能少了顶梁柱的小家庭陈晓毅面对如此两难的选择时在没有和妻子小谭商量的前提下他擅自决定选择辞职回家照顾父亲我一直觉得没有尽到孝心陈晓毅称得知丈夫辞职要回家照顾父亲的消息后小谭认为丈夫缺少家庭责任感而且不尊重自己没有和自己商量就辞职让家庭生活陷入困境为此两人不断争吵而作为长辈的汤某也经常完全站在女儿一边数落女婿这让陈晓毅很是气愤,209,20,"[4, 8, 9, 11, 10, 14, 13, 14, 15, 11, 4, 17, 13, 7, 10, 9, 2, 6, 23, 9]",[20],"[[18, 19]]",但而却因而而当但但但但当但但但更因但因而
195,晨报曾于本月18日以女总监的两难选择为题报道了曾经月薪过3万的女总监刘海笛放弃高薪回到重庆照顾母亲一事十多天过去了刘海笛现在的状况如何她对自己当初的选择是否后悔呢昨天见到刘海笛时她精神好了很多脸上也有了血色谈到当初放弃高薪回重庆照顾母亲的决定刘海笛觉得还是有一些后悔这个决定多少有些冲动她说现在静下心来细想这个冲动的决定让她陷入窘境不但治疗费用没保障也没将母亲照顾好这与她最初的想法是背道而驰的,197,19,"[20, 17, 14, 6, 10, 14, 2, 6, 7, 7, 18, 12, 10, 2, 8, 13, 9, 8, 14]",[12],[[11]],而就因但而但但当但而当但但但但但但但但
196,她刘海迪通过自力更生成为小有名气的服装设计师在香港奥拉摩达服装有限公司担任服装设计总监月薪3万因母亲病重毅然放弃工作回到重庆照顾母亲如今因没有了经济来源她有点后悔当初的冲动决定但她也在努力寻找工作他陈晓毅在一建材公司工作因在老家的父亲中风瘫痪在床他在没有和妻子商量的情况下毅然辞职回家照顾父亲如今妻子为此起诉要求和他离婚,160,19,"[4, 6, 12, 21, 4, 5, 6, 8, 2, 8, 12, 10, 4, 8, 13, 13, 10, 2, 12]",[11],[[11]],而但而而总因但但而就但但而因而但但而但
197,10月22日晚黎明驾驶摩托车行至周市镇迎宾路时遭遇车祸当即昏迷被送往昆山市第一人民医院抢救医院虽全力抢救遗憾的是黎明还是出现了昏迷自主呼吸消失等症状医生初步诊断为脑死亡这意味着一旦撤下呼吸机小伙的心跳就会停止得知情况后远在老家的父母第一时间赶到昆山望着躺在病床上的儿子父母伤心至极每天以泪洗面,146,16,"[7, 20, 4, 14, 7, 4, 18, 10, 4, 7, 9, 5, 15, 10, 6, 6]",[15],[[14]],但当但但但但但但而但而当而却而但
198,家人含泪决定捐献器官儿子已醒来无望父母听说可以将黎明的器官捐献出来挽救别人的生命朴实的父母亲虽万般不舍但想到儿子的奉献能帮助别人且以另一种方式延续生命不禁动了心昆山红十字会得知黎明父母的想法后立即派人赶到医院与他们沟通黎明的父母很坚定并郑重决定捐献孩子身上有用的器官挽救别人的生命在场的所有人都被两位老人的深明大义所感动,160,15,"[17, 4, 12, 7, 11, 13, 11, 5, 16, 8, 5, 8, 16, 7, 20]",[15],[[15]],当当就而而但而却当便当但但而而
199,火灾发生于昨日凌晨2点左右火势很大起火后浓烟迅速笼罩整栋居民楼很多居民被呛醒在物业和消防队员的疏散下居民们通过安全通道聚集到楼下空旷地带但让居民们愤怒的是起火房屋的主人曾阻止邻居报警我被呛醒了一看恁大的烟我赶紧打开后窗户并报警但是他们居然说谁报警弄死谁,126,15,"[13, 4, 3, 11, 7, 12, 18, 9, 14, 5, 2, 4, 8, 3, 13]",[8],[[9]],而因但当而而当但因当如就而但而
200,据香港电台消息香港一名59岁有家暴前科的男子怀疑年轻10年的妻子不忠到妻子工作的酒楼狂斩她10刀妻子最终不治被告谋杀罪成判处终身监禁被告早前在香港高等法院否认谋杀罪名4男3女陪审团早上退庭商讨约两个多小时后以大比数6比1裁定被告谋杀罪成被告听取裁决及判刑时一直低头法官形容案件是令人伤感的悲剧被告以尖刀狂刺妻子力度大得令妻子的胸骨折断主要器官严重受损法官指被告不但夺去妻子宝贵性命更令儿子失去母亲一手导致家散人亡,206,20,"[7, 15, 12, 8, 6, 6, 6, 6, 17, 20, 15, 10, 4, 4, 10, 29, 3, 12, 8, 8]",[15],[[16]],而而因而就但总但而而而当却而而但但而但因
