section,discourse,word_count,doc_len,clause_len,emotion_pos,cause_pos,true_pairs,conn
967,法庭上李美兰说3年多共同的生活期间她基本承担了家务有了孙子后担当着保育员和保姆的角色自己不能白白付出现在要追讨3年多的劳动报酬李美兰的前儿媳回应说孩子出生时自己曾提出请保姆但婆婆说愿意带孙子而且孩子的成长给婆婆带来了很多快乐法院经审理后判决驳回李美兰的诉讼请求法院认为老人基于传统习俗以及血缘亲属之情照顾孩子其间孩子的父母也履行了抚养孩子的义务因此老人看管孩子的行为属于道义上的行为不足以发生民事法律后果,202,21,"[3, 14, 8, 5, 12, 8, 13, 10, 5, 8, 9, 17, 8, 10, 4, 20, 2, 16, 2, 17, 11]",[12],[[12]],"[[12, 12]]",如与而但更但但但当而但而但故但而而而因而但
968,今年8月9日微信微博中转载了一组虐驴男活割藏野驴的图片照片中一名身穿牛仔裤黑色T恤戴着墨镜的男子站在草原上满手是血正残忍地用刀从藏野驴身上割肉消息激起网友的愤怒并呼吁追责经有关部门查实8月9日下午犯罪嫌疑人陈某李某从西藏札达县曲松乡返回县城路途中驾车连续撞击藏野驴致其受伤倒地后用刀捅死并用车运到县城内的工地上把肉分给自己工地上的工人,167,14,"[6, 21, 3, 23, 4, 14, 9, 5, 7, 6, 25, 16, 16, 12]",[7],[[6]],"[[7, 6]]",而而而当却但但但但而当因便就
969,记者今天从云南省龙陵县公安局获悉该局近日查获一起人体藏毒案让民警感到愤慨的是查获的4名女童竟被贩毒分子当作运毒工具从事运输毒品犯罪活动10月14日该局勐糯派出所获悉有人运输毒品途经该所辖区获取情报后该所迅速组织民警在该县勐糯镇海头村岔路口设卡查控,123,9,"[16, 13, 9, 29, 6, 9, 12, 5, 24]",[3],[[4]],"[[3, 4]]",但而更而但由因而而
970,伊犁州法院依法组成合议庭于8月12日9月5日公开开庭进行了两次审理伊犁州法院经审理查明2014年1月3日10时许被告人富鹏从父母富某某（男殁年63岁）张某某（女殁年60岁）家接孩子上学后又返回父母家吃早饭富鹏因嫌父母为带孩子等琐事经常唠叨训斥自己而心生怨恨遂用榔头单刃刀将其父母杀害并将作案工具带回自己家中藏匿在管道井内,160,10,"[33, 10, 13, 24, 13, 9, 26, 13, 12, 7]",[7],[[7]],"[[7, 7]]",由但而而因但而但但而
971,10月9日临武县大冲乡发生一起盗窃手机案经过派出所民警勘验调查很快查清了小偷就是邻居家年仅14周岁的刘某案件发生后刘某父亲闻讯找来儿子一番逼问刘某把手机交给了父亲虽然对儿子的行为极为愤怒并狠狠地修理了儿子一番但是出于好面子刘某还是决定隐瞒此事并把手机藏了起了,129,11,"[5, 15, 11, 21, 5, 14, 10, 23, 7, 10, 8]",[8],[[8]],"[[8, 8]]",但如但但但但但但但但但
972,2013年9月11日23时许阿华伙同阿权阿海经商量策划后携带刀具到增城市新塘镇上邵村天桥处实施抢劫深夜一个人路过的小雪成了他们的抢劫目标三人见小雪人长得靓丽便决定由阿权阿海实施抢劫阿华出面扮演英雄救美获得小雪好感阿权阿海抢走了小雪的一部手机经鉴定价值人民币400元随后阿华出来英雄救美将阿权和阿海赶跑阿华将小雪带到公路边草丛等偏僻路段意欲诱使小雪发生性关系被小雪拒绝阿华恼羞成怒欲采取暴力强奸小雪小雪死命不从并以撞车自杀相抗阿华眼见阴谋不成又怕把事情闹大就停止了对被害人的继续侵害,240,23,"[14, 8, 6, 21, 19, 10, 12, 16, 14, 12, 2, 8, 8, 17, 11, 5, 6, 9, 6, 8, 8, 7, 13]",[17],[[16]],"[[17, 16]]",而与虽因而但便由而但但当却但故但当更但但但但但
973,更让杨女士夫妇伤心的是由于治疗期间用了很多药会对孩子产生很大影响因此不得不进行流产记者获悉昨日上午杨女士才去妇科做了检查等过两天身体恢复点就要去做流产手术了为了给妻子治疗夏先生至今已花了7万余元医疗费,100,11,"[11, 11, 10, 9, 4, 4, 11, 9, 9, 7, 15]",[1],[[4]],"[[1, 4]]",而但就因但但而就但但而
974,2003年3月23日在广东佛冈县务工的吴某因为赌博输光了钱躺在工棚里焦虑万分他已无心做事一心只想从哪快点弄些钱度过窘境抢劫——一个邪恶的念头突然闪现在他的脑海里他从工棚里找了一把水果刀走出了工地一路上吴某不断寻找作案目标终于在一个较为僻静的路段他遇到了只身经过的妇女蓝某,135,13,"[10, 19, 9, 6, 15, 21, 12, 5, 3, 10, 2, 10, 13]",[3],[[2]],"[[3, 2]]",而而就但但而但就但而但就当
975,当嫌疑男子兴冲冲地上到目标楼层时发现该房木门大敞铁门半掩着他蹑手蹑脚地窜进该房间顺手把铁门关上然后进屋将该房的衣柜衣物都翻了一遍不料期间并没发现值钱财物正当该男子大失所望准备离开时这才发现其同伙使用的开锁工具把铁门锁芯弄坏了经10来分钟的折腾铁门怎么也打不开,129,11,"[16, 8, 5, 11, 7, 17, 12, 14, 22, 9, 8]",[8],[[7]],"[[8, 7]]",而却而当便但却而但虽但
976,小龚是上虞一家大企业的白领事业有成的他私人问题却迟迟没有解决成天被家人催着找媳妇也是一件挺郁闷的事于是今年7月底小龚在某婚恋网上发布了个人资料希望能有所回应不久一位名叫小莉的女孩就主动联系上了他这个小莉可不简单自主创业长相可人是个典型的白富美两人就此在网上聊上了慢慢的小莉对小龚的称呼也变成了老公,148,18,"[13, 6, 11, 10, 9, 2, 5, 15, 7, 2, 17, 8, 4, 4, 8, 10, 3, 14]",[5],[[4]],"[[5, 4]]",而但但却但由而而但但而但或但就但但而
977,据称唐姓杀害孩子之后叫其他的人帮他报警人们问他为什么这样做他的回答让人震惊我养不起了据镇雄县政府新闻办通报10月14日镇雄县牛场镇牛场村马鞍山村民唐明华将其子唐家宇杀死家中案发后公安机关查明唐明华39岁身体健康好逸恶劳育一男一女其妻因无法忍受其懒惰成性于三年前带小女儿外嫁他乡唐明华则带儿子唐家宇一起生活,152,15,"[19, 10, 13, 11, 6, 27, 3, 6, 6, 4, 4, 5, 12, 12, 14]",[3],[[3]],"[[3, 3]]",但当但而但而但由当但但唯但却而
978,案发时间是在2000年3月29日朝调度室里泼完汽油后他就去跳河了在河中他想到了母亲于是又爬上了岸开始了潜逃生活他往调度室里泼的汽油引发了大火造成了三位同事不同程度的伤残兰州民警说通过他和刘某妻儿的接触发现两人对他抛妻弃子潜逃的行为充满了怨恨案发后的前两年刘某在甘肃境内左躲右藏打零工之后12年他逃到了新疆在新疆他干过建筑工当过车贩子近些年他还拥有了自己的小汽车跑起了黑车,185,21,"[16, 10, 6, 3, 6, 7, 7, 15, 14, 5, 13, 18, 7, 14, 5, 6, 3, 11, 3, 11, 5]",[12],[[12]],"[[12, 12]]",而就但就但但便而更但但而而而但但故但但而却
979,2014年4月11日警方在某土特产商店内成功抓捕了犯罪嫌疑人林天锐让警方没有想到的是在审讯过程中林天锐竟坦然承认杀人并一股脑将案发过程和盘托出林天锐供述这八年来自己始终没有摆脱杀人的阴影因为害怕被抓获无时无刻不是过得胆战心惊心中苦闷也无从诉说在我被抓的前一段时间我自己还上电脑帮自己算了命算下来说我也快到头了,154,15,"[10, 23, 9, 6, 10, 13, 5, 4, 13, 7, 12, 9, 10, 13, 10]",[11],[[10]],"[[11, 10]]",更而更但而而由而但因但但就而就
980,虽然抢劫者被绳之于法但案发时突如其来的那场惊吓至今让一位6岁女孩承受着沉重的心理压力这也是孩子的母亲一直难以释怀的伤痛警方很快的将涉嫌抢劫的刘某及其同伙张某抓获秦皇岛市开发区法院一审判决刘某有期徒刑三年六个月并处罚金3000元记者试图采访这个勇敢的女孩女孩的妈妈小米说经历了那一次惊吓女儿一直心有余悸小米希望女儿的身心成长不再受到影响办案的检察官提醒在遭遇暴力劫财时第一要将自己的生命安全放在首位尽可能满足歹徒要求以求自保第二在不激怒歹徒的情况下尽量拖延时间与其周旋以求得到外援,239,19,"[10, 13, 19, 17, 21, 24, 9, 13, 8, 8, 8, 17, 8, 8, 15, 13, 12, 10, 6]",[11],[[10]],"[[11, 10]]",但但但而但故但当但却但但但但但但但但但
981,记者从大安区检察院获悉近日该院审查该案认为陈郁因怀疑姐夫蓝强与其妻有不正当男女关系激愤之下用事先准备好的水果刀逼迫蓝强与自己一起跳河并在河里用刀将企图反抗的蓝强肺部捅伤致蓝强血胸窒息死亡检方认为陈郁在湍急河水中用刀伤人具有杀害蓝强的主观故意其供述事实与现场物证现勘以及案发前后所接触人员陈述等证据均能予以证实陈郁的行为已涉嫌故意杀人罪依法决定将其批准逮捕,177,14,"[11, 2, 8, 20, 25, 18, 9, 4, 12, 11, 12, 22, 13, 10]",[5],[[4]],"[[5, 4]]",但更但而更但而但与但就但而但
982,当晚随着排查的深入死者丈夫刘某终于交代10月7日夜间刘某与妻子在家中因生活琐事和孩子教育抚养等问题发生激烈争吵后刘某一时激愤掐住妻子脖子导致妻子窒息死亡当发现妻子已经没有呼吸后为了掩盖犯罪行为刘某将妻子置于卧室床上伪造了妻子熟睡中意外死亡的犯罪现场目前刘某因涉嫌故意杀人罪被刑事拘留案件正在进一步侦办中,151,14,"[2, 7, 10, 7, 30, 12, 8, 12, 8, 11, 17, 2, 15, 10]",[6],[[5]],"[[6, 5]]",而但但但因而而但但而更而因而
983,商洛柞水县一名男子与咸阳一名已婚妇女发生婚外恋情三年之后盼着能修成正果不想却因礼金问题发生争执两人关系化为泡影心生怨恨的男子在网络上购买追踪器定位恋人的位置伺机将其掐死在家里,87,7,"[24, 11, 12, 8, 16, 7, 9]",[5],[[3]],"[[5, 3]]",而但却但而与便
984,同月12日职业技术学校通过师生捐款等形式给付林母7万余元并达成校方与林家再无纠纷协议江苏省镇江市京口法院审理后认为林某自杀身亡令人惋惜但林某案发时已满十七周岁主办方虽有工作失误行为但在林某自杀前已经对失误进行了补正根据一般知识经验判断对于与林某年龄智力相仿的学生来说通常不足以产生自杀后果,144,12,"[5, 15, 8, 14, 15, 10, 12, 11, 17, 10, 16, 11]",[6],[[6]],"[[6, 6]]",但由因总但而但但但但但但
985,由于食堂内部并没有安装监控所以办案民警只能从食堂大门口唯一的一个监控入手调查但让人失望的是中午开饭期间食堂人流量确实较大监控一时还无法发现可疑之处我们现场调查的民警从勘察现场来看被盗办公室里只有装钱的抽屉被人撬过其他部位并没有严重翻动过的痕迹从这点迹象来看我们怀疑是熟知钱物放置位置的熟人所为民警介绍,150,12,"[13, 25, 7, 15, 13, 9, 7, 17, 15, 7, 18, 4]",[3],[[5]],"[[3, 5]]",而而而而但而而因而但而由
986,第二天两人又面对面谈了半天关系似乎有所缓和当天下午他们又因琐事发生了口角吴梅一气之下提出分手见天色已晚吴梅要求周俊送自己回住处就在等公交车时面对坐在长椅上的周俊吴梅一时气不过想起周俊对自己的种种不好一怒之下从裤兜里掏出随身携带的仿真玩具枪抬手就将枪贴到周俊的右脸上扣下了扳机伤人后她不知这一枪已经打穿了周俊的下颌却像没事人一样走了,165,18,"[3, 10, 8, 4, 11, 10, 5, 12, 7, 10, 7, 12, 20, 13, 5, 3, 16, 9]","[6, 13]","[[5], [12]]","[[6, 5], [13, 12]]",但但但而但但却但但但但却但但但因但但而而但而但但却而但就但就而就便当但但
988,昨日下午刘娟外出办事回来累得一身大汗的她准备马上洗澡正巧洗澡间的门锁坏了门不能严实地关上刘娟只好用凳子挡住门缝就当刘娟开始洗澡时她突然发现门缝越来越大恐慌不已的她上前一瞅发现门外有个男子正在窥视刘娟十分气愤大喊邻居帮忙抓住偷窥狂哪想这个偷窥狂竟然是李平刘娟气愤地报了警黄桷坪派出所接到报警电话后迅速赶到现场经调查核实刘娟和李平居住的老房子是出租房每层楼的厕所和洗澡间是公用的李平也承认了自己偷窥的行为,200,21,"[4, 8, 14, 10, 8, 11, 9, 11, 10, 12, 6, 11, 2, 10, 8, 13, 6, 5, 15, 14, 13]","[9, 11, 15]","[[8], [10], [14]]","[[9, 8], [11, 10], [15, 14]]",但当而但但而但但更却但就但而而当便但而但而但当而但但但但但而却但就但而但而便但而但而但当而但但但但但而却但就但而而当便但而但而
991,易某军交代2013年以来其发现妻子黄某和一名五六十岁的男子有通奸行为因此很生气今年7月21日早上8时许其买了一把水果刀和岳父黄某一起去该男子住处当时一直敲门却不开门过了大约十分钟之后其妻子黄某打开了门而该男子却躲在里面一个小房间不敢出来其当时便欲砍门此时妻子和岳父前来夺刀结果混乱当中刀子捅到了妻子和岳父两人流了很多血自己感到害怕便扔下刀子逃离了现场易某军交代其离开事发现场之后便乘大巴车到了长沙下车后刚好看到有到深圳的大巴车就上车来到了深圳到了深圳的这两个多月里刚开始的几天是在龙岗区平湖街道靠捡垃圾为生后来一直在火车站广场一带流浪在被警方抓住之前一直靠捡垃圾为生,283,28,"[5, 7, 22, 5, 12, 8, 13, 10, 9, 9, 18, 7, 11, 16, 7, 6, 10, 5, 9, 9, 15, 8, 11, 6, 15, 14, 8, 8]","[4, 16]","[[3], [14]]","[[4, 3], [16, 14]]",但由当如而与便但但但但因但但但因但但当就但但但但但但但但但但当因而与便但但但但因而但但而就但当就但但但而但但但但
993,凌晨0时30分左右一个打扮时髦穿着性感的女人走了过来并四下打量民警此时还无法确认犯罪嫌疑人见没看到碰面的人该女子便拿起手机拨起了电话所长的手机此时响起民警确认发短信的就是这女子无疑于是三人立即上前将此女子控制面对突如其来的民警女子也是一脸惊诧但明显有喝醉了的状态最终在民警的讯问下交代了实情,145,12,"[9, 22, 14, 8, 13, 9, 15, 14, 9, 8, 10, 14]",[10],[[9]],"[[10, 9]]",而而但但而而但而而而但但
994,终于远在四川岳池的25岁小伙杨明飞与刘玉青建立了联系并答应到无锡来与刘玉青一起开创事业他们口中所谓的事业就是绑架然后勒索的勾当刘玉青想到现在只有两个人做事情不太方便于是想到了自己的发小凌守荣凌守荣也是盐城人今年23岁接到刘玉青的电话后正因与女朋友吵翻心情烦躁的他便来到无锡想与刘玉青等人一起搞钱三人中虽然刘玉青年纪最小可他脑袋转得最快鬼点子一个接一个俨然成了这个小团伙的军师,187,18,"[2, 24, 17, 9, 11, 5, 7, 7, 13, 8, 5, 9, 19, 11, 12, 8, 8, 12]",[13],[[13]],"[[13, 13]]",但而但而但但但但由而因当当就但但但却
995,对于事发原因金坪村一位村民称事发当日早上该村几名村民抬着电线杆遇到雷某有村民喊道海娃子雷某小名帮个忙吧但雷某并未应答脸色很阴沉村民事后猜测雷某是嫌别人喊他小名不尊重他而恼羞成怒另据知情人透露当日上课期间遇到学生调皮雷某可能再次感到不受尊重加之想起此前学生们模仿他说话才重打学生,138,18,"[6, 8, 6, 15, 12, 4, 7, 5, 6, 10, 4, 5, 7, 6, 6, 12, 14, 5]",[12],[[11]],"[[12, 11]]",而而而而更就但而但而而因而如却而更当
996,11月9日晚8时许周海涛驾驶自己的银灰色面包车在成都市桂溪立交桥下接到了赵可此时他的车上装着胶带绳子剪刀警棍还悄悄换上了一块偷来的车牌在车上将对方绑架曾威胁要将其活埋车子快开到简阳时周海涛假称要到后座拿点东西在车上对赵可实施了绑架手脚被捆绑的赵可被扔到了面包车后座在那里渡过了惊恐万分的23个小时在这期间周海涛白天很少停车晚上就找个偏僻处停下在车里睡觉因为在赵可的包里没找到什么收获周海涛先是强迫其给朋友打电话假装借钱不过都没有成功,216,18,"[9, 14, 15, 2, 14, 13, 24, 13, 11, 17, 16, 4, 9, 10, 5, 15, 18, 7]",[11],[[9]],"[[11, 9]]",但由就而而但因而就而就而但但就但但但
997,对于王某精神有问题的说法一名村民说他有病的话还能做生意吗小华的母亲说听说他10年前患过抑郁症后来也没啥事了平时孩子自己在家的时候我都会锁上门我去摘菜也只是一小会儿的时间有时孩子的同伴来找孩子玩我当天就没锁门小华的母亲对自己的疏忽给孩子造成的伤害一直很内疚幸亏没有给孩子造成实质性的伤害否则我们当父母的一辈子都后悔小华事后经常做噩梦小华家中的墙上挂着小华获得的优秀学生奖状,185,13,"[12, 16, 18, 7, 11, 6, 14, 12, 7, 24, 15, 14, 29]",[10],[[10]],"[[10, 10]]",而当但但但但而但但而但但而
998,唯一的孩子陈熙浩死后陈方和魏石美陷入极度悲伤夫妇俩奔走大岭协和医院和惠东县卫生局最后查实当班坐诊医护人员庄稳耀没有医师资格证和执业证帮陈熙浩做B超的钟姓妇女只有护士证进行验血的医护人员余浩也没有医师资格证和执业证了解到这些信息后陈方和魏石美迅速报警目前陈熙浩已经做了尸检结果显示他患的是肠套叠至此由庄稳耀钟姓护士余浩三人组成的医疗团队出现误诊的事实基本明了,178,14,"[10, 12, 18, 26, 17, 11, 12, 8, 10, 11, 11, 2, 26, 4]",[2],[[1]],"[[2, 1]]",但而因但而而但当但但但但由但
999,8月27日9时时隔18年后43岁的孙成伟回到了家乡———和龙市福洞镇那边那座山没怎么变我小时候在山上放过牛采过蘑菇看着既熟悉又陌生的场景戴着手铐的孙成伟和带他来指认现场的民警聊起天来18年前孙成伟杀死一个远亲舅舅随后开始逃亡他更名改姓娶妻生子终究没能逃脱法网他说18年来自己一直生活在恐惧之中总是失眠晚上只能睡两三个小时现在总算解脱了,167,18,"[7, 6, 21, 9, 14, 11, 23, 4, 11, 6, 9, 8, 2, 4, 11, 4, 10, 7]",[15],[[9]],"[[15, 9]]",如而而但而但当与与但由但但但而却但但
1000,当年范某酒后经常来到孙家闹事孙的父母人比较老实一直忍气吞声办案民警介绍孙成伟带着朋友赶回家中与范某争吵起来并打在一起见孙成伟人多范某丢下几句狠话离开了孙成伟意识到范某一定会报复自己的父母他想和范某和解但又惧怕范某对他动手于是揣了一把匕首孙成伟追上范某后两人谈崩了又吵起来进而开始厮打撕扯中孙成伟掏出匕首刺在范某的颈部致范某当场死亡看见范某倒在地上不动了孙成伟慌了神他脑袋里只有一个念头———逃跑,197,24,"[2, 12, 9, 6, 6, 11, 12, 6, 11, 6, 12, 7, 10, 8, 8, 5, 4, 6, 3, 14, 7, 11, 6, 15]",[13],[[13]],"[[13, 13]]",而而但但由当便但但但但但但但当但但就而而而就但但
1001,9月4日凌晨郑某接到王某的电话对方让他到她家过夜郑某应邀前往在发生关系前王某提出要100元钱郑某同意但是当天凌晨6时许郑某离开时王某向他要500元为此发生争执王某要打电话叫人来收拾郑某郑某恼羞成怒抓起床头手机充电器用导线将王某勒死事后他将王某的尸体藏在床板的厢体里并且顺便拿走了死者的手机当日上午9时他坐车逃回老家定州当他还抱着侥幸心理打算外逃时民警从天而降将他抓获归案,185,21,"[6, 9, 9, 6, 6, 10, 4, 9, 5, 9, 6, 13, 6, 17, 17, 12, 6, 9, 14, 6, 6]",[13],[[12]],"[[13, 12]]",但当但但但但但但当而因因而便但但而与而而便
1002,夫妻闹矛盾竟能下如此毒手实在让人气愤银川市民何先生向本报反映他怀孕8个多月的表姐马女士因与丈夫闹口角竟被对方用刀捅伤住院治疗9月5日下午记者来到马女士就诊的宁医大总院她躺在病床上左手打着吊针脖子上长约10厘米的刀伤让人触目惊心隆起的肚子上缠着厚厚的绷带左小腿也有两道刀伤,135,13,"[5, 7, 6, 12, 20, 12, 6, 15, 6, 6, 18, 13, 9]",[3],[[2]],"[[3, 2]]",当但但而而因但当当但而而而
1003,丈夫养的小三居然住在自家房屋里这让江芬异常愤怒她打官司要求小三王玫支付高额房屋使用费面对一审法院130多万元的判决赔偿金王玫认为不公平我养育他的孩子他同意我住进去的近日上海一中院作出终审判决判令王玫支付房屋使用费19万元,110,10,"[15, 8, 19, 18, 7, 7, 8, 2, 11, 15]",[2],[[1]],"[[2, 1]]",而而与而但而但更由但
1004,2014年8月13日新疆库尔勒市公安局刑警大队大案一队民警接到市民报警称在巴音路某宾馆有一男一女倒在血泊中这一男一女曾是一对相爱多年的恋人就在两人谈婚论嫁时男子因买不起婚房而遭女方家人的反对最后女子听从父母的安排向男友提出了分手见无法挽回这段恋情男子万念俱灰欲杀死女子后自杀未遂民警将二人送到医院后经抢救两人均脱离了生命危险,162,14,"[10, 26, 7, 10, 16, 9, 17, 2, 17, 9, 6, 10, 10, 13]",[11],[[10]],"[[11, 10]]",但而就更而但因而而却而因当而
1005,当晚6点多孙虎主动来到失主刘某家不过这一次他的身份是民警从邻居口中得知刘家已报警后孙虎心里一阵高兴之后他自称是派出所民警告诉邻居刘家的案子已经破了赃物已追回但要准备1200元才能赎回东西因临时有事他明日再将所失物品带来为扮得更像派出所民警孙虎特意制作了发还物品清单此外他还嚣张地附上注明主家×××请付出人民币1000元付兄弟辛苦费200元1000元我们交到所里等字样,183,22,"[5, 11, 2, 3, 7, 13, 8, 2, 9, 13, 5, 9, 6, 5, 11, 10, 13, 2, 14, 11, 10, 14]",[7],[[6]],"[[7, 6]]",而而但但而但而但而就但但但但若因而但而但就就
1006,今年2月1日农历正月初二夜里10点多崔某偷偷点燃了许某某家的草垛火很快烧了起来之后崔某转念又想缓和关系遂去帮助许某某夫妇二人救火但许某某夫妇拒绝了他的帮助崔某被拒绝后恼羞成怒萌发报复心理便返回家中拿起一把菜刀来到许某某家砍击许某某老伴尹某某数刀致其死亡此时在外面救火的许某某返回家中崔某又持菜刀连续砍许某某其间崔某手中的菜刀跌落在地但崔某仍不依不饶从现场捡起一块砖头连续击打许某某致其当场死亡,196,20,"[18, 14, 7, 2, 10, 13, 13, 6, 4, 6, 17, 16, 2, 13, 12, 2, 11, 8, 16, 6]",[9],[[7]],"[[9, 7]]",而当但因但但但但更而便因而而而而当但便而
1007,廖某是全州人整天在社会上混通过朋友介绍他认识了女友张红化名由于两人聊得很投机他们很快同居在一起今年6月廖某得知女友怀孕后非常高兴可因女友怀孕了需要增加营养安胎两人开销增加了本来就靠父母给点钱过日子的他们感到生活压力很大于是廖某便想到了通过抢劫的办法来谋取钱财6月的一个晚上他独自一人持刀来到县城的大街上寻找作案目标可一直没有发现目标直到当天晚上11点在县城的十字街路口他发现一名身穿白色上衣的女子背包独自走在路上见四周无人后他从该女子后面将对方的包抢走第一次得手后廖某只要身上没有钱用便在晚上持刀抢劫独行女性,254,26,"[6, 7, 6, 10, 9, 9, 4, 13, 7, 8, 7, 15, 8, 2, 18, 7, 21, 9, 9, 9, 22, 6, 14, 6, 10, 12]",[8],[[8]],"[[8, 8]]",因但但当而但如而但但但而但而但而而但但就当但但但而因
1008,7月20日下午5时毛某约张某谈事两人在附近找了家宾馆住下并在附近吃了麻辣烫再次回到宾馆已是晚上9时洗簌完毕后张某再次提出希望毛某拿出些钱帮儿子毛某不同意双方争执不下张某恼羞成怒用双手掐住毛某脖子毛某害怕讨饶但张某说自己之前好话说尽现在为时已晚失去理智的张某猛掐毛某的脖子用枕头捂她的口鼻并用烟灰缸猛砸她头部致毛某当场死亡见到满地的鲜血张某才感到害怕他用房间里的浴巾盖住前妻的尸体走到楼下吧台借了手机报警说自己把人杀死了,209,29,"[9, 7, 12, 9, 6, 6, 5, 6, 11, 5, 6, 6, 9, 4, 2, 4, 8, 6, 7, 7, 8, 10, 7, 7, 7, 15, 6, 6, 8]","[12, 14, 25]","[[11], [13], [24]]","[[12, 11], [14, 13], [25, 24]]",而与就但但但当但但但但而便而或但当但而就就但而却而但就却就而当就但但但当但就但但但便而或但当但而就就但而就而但就就就而当就但但但当但就但但但便而而但当但而就就但而就而但就却就
1011,今年7月29日武昌警方再获情报王某的哥哥在岳阳购买了火车票专班民警连夜赶赴岳阳次日上午在岳阳火车站抓获王某对当年冲动后悔万分落网后王某叹道12年的逃亡生活让他成了惊弓之鸟时刻紧绷神经深夜常常惊醒听到警笛声就心慌气短两年前的那一天他在深圳的厂里偶然看到几名精干男子进了经理办公室怀疑是从武汉来抓他的便衣便悄悄躲在门外偷听证实了自己的猜测当即转身溜走,173,18,"[7, 8, 14, 10, 4, 10, 12, 4, 16, 6, 6, 10, 7, 24, 12, 9, 8, 6]","[7, 12]","[[7], [12]]","[[7, 7], [12, 12]]",但因而总但而但但但但因但而当因便更但但而而总而而因而但就但但而而就就但但
1013,8月4日延安市食药监局对此事进行调查并对当事司机邵某进行了谈话调查指出邵某7月17日驾驶的陕J00041丰田越野车是当日的值班车正常情况下应该停在单位事发那天邵某的孩子突然生病因心情烦躁没有打招呼私自开车回家看孩子将车停在李渠镇东村其家附近对于网上反映的干涉新农村建设和一些言论邵某称没说那些话延安市食药监局对邵某作出相应处理停止工作一个月深刻反思承担此次开车的费用折合人民币200元交财务作出书面检查,201,18,"[4, 14, 13, 4, 29, 11, 4, 9, 5, 14, 13, 19, 8, 23, 4, 9, 12, 6]",[9],[[8]],"[[9, 8]]",如而但但而但而当因却便但但故但但如或
1014,29日凌晨他边瞎转边寻找目标下手在走到花园路永丰余路口时看见路上停放着许多汽车李某试着拉拉车门看看能不能碰上运气哪辆汽车没锁车门竟然还真让他遇见了一辆半新不旧的红色普桑轿车右后车门被他拽开钻进车内的李某东翻西找找了储物盒看了烟灰盒只偷到了两个一元的钢镚深感懊恼和晦气的李某不甘心这点战利品又沿着花园路向东走没想到撞上了巡逻民警被逮了个现行李某同时交代了两天前在停放路边的一面包车内偷走20元钱的违法事实,201,18,"[5, 11, 12, 11, 8, 9, 8, 9, 21, 11, 5, 5, 11, 18, 9, 10, 6, 32]",[14],[[13]],"[[14, 13]]",而当就就但就但但而而便就但但但却就而
1015,怀疑妻子有外遇恼羞成怒失去理智的丈夫残忍地将妻子鼻子咬掉还吞了下去天呐这惊悚的一幕就发生在不久前的嘉兴平湖市当湖街道某小区内,62,6,"[7, 21, 5, 2, 6, 21]",[2],[[1]],"[[2, 1]]",因当但当而而
1016,向派出所自首后付某于7月1日被刑拘他对自己的愚蠢行为进行了深深的忏悔与自责王某一开始坚决表示要和付某离婚要让付某坐牢冷静下来后考虑到家里还有三个孩子需要照顾王某作出了原谅付某的决定检方近日以涉嫌故意伤害对付某提起公诉平湖法院将择期审理此案,119,9,"[7, 10, 20, 15, 6, 20, 12, 18, 11]",[3],[[3]],"[[3, 3]]",但而而但就但但而而
1017,昨日死者母亲闻讯后赶到现场确认死者就是宋某记者看到宋某的母亲步履蹒跚走路很艰难看到宋某尸体后伤心痛哭昨日案件被害人李女士的女婿曹先生向记者介绍发现宋某死尸的地方离高桥镇事发地只有15分钟车程曹先生介绍一直想追问宋某杀人的原因到底因为什么问题为何不能坐下来好好解决另外希望他能接受到法律的制裁而不是就这么死去,153,17,"[2, 11, 8, 4, 9, 5, 11, 2, 19, 24, 5, 12, 8, 11, 2, 12, 8]",[7],[[7]],"[[7, 7]]",如而但当而但当如而而由但但但而但因
1018,女子孙某因家庭琐事与丈夫发生争执盛怒之下一刀斩断儿子三根手指造成其手指永久性缺失上海市青浦区人民法院于24日对此案公开开庭审理以故意伤害罪判处被告人孙某有期徒刑一年六个月今年4月2日下午被告人孙某来到位于青浦某镇的菜地窝棚内欲就离婚及孩子抚养等问题与丈夫张某商谈但张某不想谈及此事吵了几句后张某拔腿就走孙某怒火中烧将在旁边玩耍的儿子拉到砧板前将其左手的食指中指及无名指斩断,186,14,"[16, 14, 10, 23, 22, 8, 19, 19, 9, 5, 6, 6, 14, 15]",[2],[[1]],"[[2, 1]]",因更更而故但当因但就但但却更
1019,7月10日晚杨某与安某再次争吵恼羞成怒的杨某用菜刀将安某砍死又挥刀砍向熟睡中的一双儿女据悉杨某目前已被刑事拘留案件正在进一步调查中昨日记者还获悉目前浩浩正在医院接受治疗他的前额左肩胛骨和后背都被砍伤目前已无生命危险,107,11,"[6, 9, 15, 13, 2, 10, 10, 7, 12, 15, 8]",[3],[[2]],"[[3, 2]]",但而而但而而而而但而但
